"url","type_bien","titre","prix","surface_habitable","surface_terrain","pieces","ville","cp","dpe","ges","features","description"
"https://www.etreproprio.com/immobilier-24139044-vente-chamonix-mont-blanc-chamonix-mont-blanc","","Chamonix mont-blanc","1950000","134","","4","Chamonix-Mont-Blanc","74400","D","C","parking","Appartement d'exception avec vue panoramique sur le Mont-Blanc  À deux pas du centre-ville, dans une copropriété récente, cet appartement de 4 pièces en dernier étage vous séduira par son agencement exceptionnel et sa vue imprenable sur le majestueux massif du Mont-Blanc.  L'entrée dessert un dressing et un escalier menant à une vaste pièce de vie ouverte sur une cuisine équipée. Trois chambres confortables, un bureau et une buanderie complètent cette distribution fonctionnelle, avec trois salles de bains attenantes.  Une superbe loggia offre un accès direct à cette vue d'exception. En complément, le bien dispose de deux garages, deux casiers à skis et d'une cave, un atout indéniable pour une résidence principale ou un pied-à-terre de prestige. Corinne MICHAUD : + 33 (0)7 62 16 97 43"
"https://www.etreproprio.com/immobilier-24128746-vente-grand-appartement-au-bord-de-l-arve-chamonix-mont-blanc","Appartement","Grand appartement au bord de l'arve","2150000","141","","4","Chamonix-Mont-Blanc","74400","D","B","ascenseur","Cet appartement d'environ 237 m² au sol, rénové en 2005 par MGM, comprend une entrée avec placards et WC, desservant une accueillante pièce de vie cathédrale avec salon, salle à manger, cuisine ouverte et cheminée à insert fermé au centre. Un premier balcon offre une vue magnifique sur le massif du Mont-Blanc, et le second une vue sur le Brévent. Ce bien se compose également d'une master bedroom avec dressing et salle de bains attenante. Un étage mansardé de 96 m² avec mezzanine mène à une seconde chambre avec salle de douche et WC, ainsi qu'à une troisième chambre. En annexe : une cave avec un casier à skis et une place de parking en sous-sol accessible par une rampe chauffante.  Idéalement situé en centre ville dans une rue calme au bord de l'Arve avec accès à toutes commodités."
"https://www.etreproprio.com/immobilier-24123628-vente-chamonix-les-bossons-chalet-exceptionnel-vue-panoramique-piscine-5-chambres-chamonix-mont-blanc","","Chamonix les bossons - chalet exceptionnel, vue panoramique, piscine 5 chambres","3990000","301","","6","Chamonix-Mont-Blanc","74400","A","A","parking, balcon/terrasse, jardin, piscine","Un chalet d’exception de plus de 300 m², niché au cœur du quartier des Bossons à Chamonix. Entièrement repensée avec des matériaux nobles, cette ancienne ferronnerie offre un cadre de vie unique, alliant charme, élégance et confort absolu.    La vaste pièce de vie se compose d’un salon chaleureux et lumineux autour d'une cheminée centrale, le coin bibliothèque est baigné de lumière, la cuisine ouverte est entièrement équipée, prolongée par une élégante salle à manger. Les volumes généreux et l'accès au toit terrasse et les nombreuses ouvertures offrent une luminosité naturelle exceptionnelle et une vue spectaculaire sur les sommets.     Le chalet dispose de 5 chambres spacieuses et lumineuses, 4 salles de bains modernes.   Le dernier étage est entièrement dédié à une suite parentale avec salon privé, dressing, salle d’eau, et balcon privé face à l’Aiguille du Midi.   Quatre autres chambres offrent de beaux volumes, dont deux avec dressing et salle de bains privative.     L’entrée principale dispose de nombreux rangements intégrés pour un quotidien organisé.    Un véritable espace relaxation se situe au rez des chaussée  avec une piscine intérieure, un sauna, une douche et un accès direct au jardin paysager. Idéal pour se ressourcer en toute sérénité.    Vue imprenable sur la chaîne du Mont-Blanc, l’Aiguille du Midi et le glacier des Bossons  Exposition plein sud assurant un ensoleillement optimal toute la journée Terrasses et balcons privatifs à chaque étage    Finitions haut de gamme, bois de chêne huilé et noyer massi    Garage double, ski room, buanderie, cave sous pente avec trappe vitrée    4 places de stationnement extérieures    Localisation privilégiée    Le quartier des Bossons séduit par son environnement calme, ses vues spectaculaires et sa proximité immédiate avec le centre de Chamonix (à seulement 5 minutes en voiture). Les remontées mécaniques, transports en commun, commerces et départs de randonnées sont accessibles en quelques minutes à pied."
"https://www.etreproprio.com/immobilier-24117316-vente-200m-a-chamonix-mont-blanc-chamonix-mont-blanc","","200m² à chamonix-mont-blanc","750000","200","","","Chamonix-Mont-Blanc","74400","","","","Fonds de commerce  Restaurant de spécialités  Station alpine internationale Proche Chamonix (moins de 10km)  À céder, fonds de commerce de restaurant bénéficiant d'un excellent emplacement à 2 pas d'une station alpine à forte notoriété, avec une fréquentation soutenue tout au long de l'année. L'établissement développe une cuisine de terroir très appréciée, dans un cadre chaleureux et authentique : cadre avec grande hauteur sous plafond, salle structurée spacieuse, salle annexe pour privatisation, terrasse saisonnière, grande visibilité et proximité immédiate d'une grande station internationale.   Caractéristique du restaurant : Une salle principale d'environ 80m2  Une salle annexe de 30m2 (privatisation, espace boutique...) Une terrasse environnante saisonnière extérieure Une cuisine toute équipée d'environ 30m2  Un espace de stockage avec chambre froide, spacieux  Un deuxième espace de stockage en cave (vin, légumes, viandes...) Un espace bureau  Un espace vestiaires  Données d'exploitation : Chiffre d'affaires annuel : 750 000  Fréquentation moyenne : ~90 couverts / jour Panier moyen : environ 50  par personne Ouverture actuelle 7j/7  Atouts &amp; potentiel : Clientèle locale et touristique Outil de travail opérationnel avec le mobilier et équipement cuisine pouvant être cédés  PRIX : 750 000euros Frais agence inclus --- Honoraires charges ACQUÉREUR Mandat de vente numéro 2025-853  Contactez nous pour tout renseignement et visites:  Nicolas QUIDOR - [Coordonnées masquées] Franck DANDINI - [Coordonnées masquées]  Découvrez QORIDOR, l'agence immobilière nouvelle génération, détentrice de la carte professionnelle N°CPI34[Coordonnées masquées]00010.     Votre conseiller Qoridor : Nicolas Quidor Agent commercial (Entreprise individuelle)     RSAC 883462749     RCP Beazley Solutions International Limited"
"https://www.etreproprio.com/immobilier-22713916-vente-grand-appartement-a-acheter-a-chamonix-mont-blanc-chamonix-mont-blanc","Appartement","Grand appartement à acheter à chamonix-mont-blanc","442000","51","","2","Chamonix-Mont-Blanc","74400","D","D","ascenseur","Situé dans le centre de Chamonix, à proximité du téléphérique de l'Aiguille du Midi, de la  gare SNCF et de toutes commodités. Spacieux appartement d'angle 2 pièces, il se compose  d'une entrée, d'une chambre, d'une salle de bains, d'un WC indépendant, d'une cuisine  indépendante et d'une pièce de séjour avec balcon. Vue sur la chaîne du Mont Blanc.  En annexes: cave et casier à ski"
"https://www.etreproprio.com/immobilier-24109500-vente-argentiere-appartement-a-deux-pas-des-grands-montets-chamonix-mont-blanc","Appartement","Argentière appartement à deux pas des grands montets","550000","46","","3","Chamonix-Mont-Blanc","74400","F","C","parking, balcon/terrasse","A deux pas des Grands Montets, Le spot idéal pour les mordus du ski et du village d'Argentière. Il s'agit d'un appartement sur 3 niveaux avec une belle mezzanine de 23m2 sous les toits et un jardin privatif, deux chambres, un garage, l'ensemble dans une petite copropriété avec peu de charges. Parfaitement exposé sud ouest côté Mont Blanc, cette propriété a tout pour plaire."
"https://www.etreproprio.com/immobilier-24107124-vente-appartement-stella-chamonix-centre-chamonix-mont-blanc","Appartement","Appartement stella, chamonix centre","650000","72","","3","Chamonix-Mont-Blanc","74400","D","B","parking, balcon/terrasse, ascenseur","Exclusivité la Floria Immobilier - APPARTEMENT STELLA, CHAMONIX CENTRE - Situé au coeur de Chamonix dans un bâtiment chargé d'histoire, cet appartement à rénover d'une superficie Loi Carrez de 71,50 m2 et comprend actuellement: entrée, dégagement, 3 pièces, une cuisine séparée, une buanderie, une salle de bain, un WC séparé, deux balcons. Le bien doit être rénové, et pourrait être transformé en nid douillet avec 2 ou 3 chambres. En annexe,: une cave privative et un parking souterrain privatif. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr"
"https://www.etreproprio.com/immobilier-24102693-vente-appartement-25m-a-chamonix-mont-blanc-chamonix-mont-blanc","Appartement","Appartement 25m² à chamonix-mont-blanc","295000","25","","2","Chamonix-Mont-Blanc","74400","E","B","parking, balcon/terrasse, ascenseur","Chamonix Mont-Blanc  Vue imprenable sur la chaîne du Mont-Blanc  Duplex lumineux + Balcon   Au 4? étage avec ascenseur, charmant 2 pièces en duplex comprenant : au premier niveau :  - Séjour lumineux avec cuisine aménagée, accès balcon  Au second niveau : - Chambre avec belle hauteur sous plafond à aménager - Salle de bains - wc  Surface : 25 m² environ + balcon  Atouts : cave, casier à skis, local vélos commun, parking privé (souterrain + aérien).  Idéal pied-à-terre au coeur de Chamonix.  SUR LE SITE DE L'AGENCE, D'AUTRES INFORMATIONS et D'AUTRES ANNONCES  Honoraires à la charge du vendeur.  Dans une copropriété de 158 lots. Quote-part moyenne du budget prévisionnel 1 154 /an. Aucune procédure n'est en cours. Classe énergie E, Classe climat B Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 780.00  et 1100.00  sur les années 2021, 2022 et 2023 (abonnements compris). Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr.   Votre conseiller ISABELLE IMMOBILIER : Fondatrice dirigeante - Isabelle GONDRAND Carte T CPI 74[Coordonnées masquées]00 020     RCP 949513204"
"https://www.etreproprio.com/immobilier-24102176-vente-chamonix-chalet-neuf-de-4-chambres-au-coeur-des-praz-chamonix-mont-blanc","","Chamonix - chalet neuf de 4 chambres au cœur des praz","3950000","229","558","5","Chamonix-Mont-Blanc","74400","","","parking, balcon/terrasse, jardin","Le Chalet Mont-Blanc est un chalet neuf de 4 chambres situé à deux pas du cœur du village des Praz, des remontées mécaniques de la Flégère et du golf de Chamonix.  Prévu pour être achevé début 2027, le chalet sera construit sur 3 niveaux, avec l'espace de vie au dernier étage (1er étage).  Avec une impressionnante double hauteur sous plafond pour profiter au maximum de la vue magnifique sur le Mont Blanc, les Drus et les sommets environnants, le chalet bénéficiera de finitions sur mesure choisies par l'acheteur.    Le rez-de-chaussée comprend 3 chambres avec salle de bains privative, un local à skis et une buanderie, la suite parentale se trouvant au 1er étage.  Le sous-sol sera livré à l'état brut, avec la possibilité de créer un espace supplémentaire moyennant un coût supplémentaire.    Il s'agit de l'une des dernières opportunités à Chamonix pour acquérir une résidence secondaire neuve.  Les acheteurs qui souhaitent louer le bien pourront récupérer la TVA à 20 % sur le prix d'achat, soit une économie d'environ 658 000 € (prix net 3 292 000 €).    Caractéristiques clés  - Chalet neuf de 4 chambres au cœur des Praz  - Espace de vie à double hauteur, finitions de haute qualité  - Vue panoramique imprenable sur les montagnes  - À quelques pas du village, de la Flégère et du terrain de golf  - Possibilité de choisir les finitions intérieures et l'agencement    Notre avis  Il s'agit là d'une occasion unique, suite aux changements d'urbanisme à Chamonix, d'acheter un chalet neuf de belle taille dans la vallée, en particulier dans un emplacement aussi privilégié.  Tout est à portée de main, sans oublier la vue imprenable sur les montagnes.  Avec la possibilité de personnaliser les finitions intérieures et l'agencement, et d'exploiter l'espace du sous-sol, c'est vraiment une opportunité rare.    Emplacement  Le Chalet Mont Blanc est situé au cœur des Praz, à quelques pas du village (200 mètres), près de l'église et de la remontée mécanique de la Flégère, ainsi que du golf de Chamonix. La gare est à un peu plus de 100 mètres et l'arrêt de bus à moins de 200 mètres, ce qui signifie que tout ce dont vous avez besoin est facilement accessible à pied depuis le chalet."
"https://www.etreproprio.com/immobilier-24097804-vente-exclusivite-chamonix-centre-ville-appartement-31-m2-vendu-en-plateau-brut-chamonix-mont-blanc","Appartement","Exclusivité ! chamonix centre-ville appartement 31 m2 vendu en plateau brut","275000","31","","2","Chamonix-Mont-Blanc","74400","","","ascenseur","Dans un ancien hôtel situé au centre-ville, qui sera complètement rénové nous vous proposons cet appartement de 31m2, vendu en plateau brut*.  Situé au 1er étage de la résidence, ce plateau peut être composé d'une pièce de vie avec coin cuisine et une chambre avec salle de bains, W.C. indépendant. En annexe, une cave et un casier à ski. Idéal investisseur !  La résidence : Une histoire de près de 140 ans C'est François Jullien Couttet, forgeron et maréchal ferrant qui entre 1887 et 1897 construit cet hôtel de 80 chambres au coeur de la rue Vallot.  L'hôtel de l'Europe voit le jour en 1897, c'est la Belle Époque !  Il sera exploité jusqu'à la fin des années 50, puis transformé au fil du temps en appartements. 2025 marquera la renaissance de ce beau bâtiment  La façade sera restaurée en conservant son architecture et une nouvelle toiture sera posée dans le style qu'elle avait autrefois. L'intérieur sera complètement refait avec création d'un ascenseur, de casiers à ski et de caves. *  La copropriété L'Europe comprend 12 appartements du 1er étage au 4ème + combles. Au rez de chaussée, nous retrouvons l'accès aux étages et 3 commerces ne faisant pas partie du programme de commercialisation. *Les appartements sont vendus en plateaux bruts, l'aménagement intérieur sera à la charge de l'acquéreur. Pour tout renseignement complémentaire, contactez-nous.  Nota : Les niveaux sont livrés bruts. L'emplacement précis des éléments porteurs et des gaines techniques, ainsi que, les côtes, les surfaces et autres éléments architecturaux sont susceptibles d'évoluer en fonction des impératifs constructifs et des tolérances d'exécution."
